id	af	s	gen	h	1000_rep0_dom.hs_segr.txt
1999470	1	-0.101241	9994	0.0824802	1005_rep4_dom.hs_segr.txt
2000558	1	-0.00772926	9999	0.36063	1005_rep4_dom.hs_segr.txt
1899952	2	-0.0216302	9497	0.24021	1005_rep4_dom.hs_segr.txt
1922668	2	-0.0593813	9610	0.125974	1005_rep4_dom.hs_segr.txt
1999649	1	-0.0303318	9995	0.198682	1005_rep4_dom.hs_segr.txt
1987146	3	-0.0271057	9931	0.212288	1005_rep4_dom.hs_segr.txt
1996612	1	-0.0634356	9979	0.119853	1005_rep4_dom.hs_segr.txt
1952840	2	-0.0103064	9760	0.329963	1005_rep4_dom.hs_segr.txt
1995980	3	-0.135704	9976	0.0642244	1005_rep4_dom.hs_segr.txt
1836831	63	-0.00384626	9178	0.419353	1005_rep4_dom.hs_segr.txt
1999230	1	-0.0714215	9992	0.109383	1005_rep4_dom.hs_segr.txt
1992257	1	-0.0799063	9957	0.100094	1005_rep4_dom.hs_segr.txt
1999456	1	-0.0223486	9994	0.236135	1005_rep4_dom.hs_segr.txt
1996908	2	-0.102922	9980	0.0813524	1005_rep4_dom.hs_segr.txt
1992361	2	-0.145675	9957	0.060359	1005_rep4_dom.hs_segr.txt
1996100	2	-0.0457829	9976	0.152015	1005_rep4_dom.hs_segr.txt
1999122	2	-0.0190207	9992	0.256274	1005_rep4_dom.hs_segr.txt
2000649	1	-0.148781	10000	0.0592483	1005_rep4_dom.hs_segr.txt
2000152	1	-0.0912168	9997	0.0899145	1005_rep4_dom.hs_segr.txt
1981945	4	-0.00119405	9905	0.471831	1005_rep4_dom.hs_segr.txt
1988266	1	-0.00759261	9937	0.362416	1005_rep4_dom.hs_segr.txt
1982978	9	-0.0521521	9910	0.138596	1005_rep4_dom.hs_segr.txt
1998230	2	-0.0104039	9987	0.328905	1005_rep4_dom.hs_segr.txt
1998198	3	-0.0346409	9987	0.183013	1005_rep4_dom.hs_segr.txt
1995394	1	-0.166681	9973	0.0535672	1005_rep4_dom.hs_segr.txt
1986800	2	-0.0010347	9929	0.475405	1005_rep4_dom.hs_segr.txt
1997056	1	-0.0178112	9981	0.264472	1005_rep4_dom.hs_segr.txt
1984194	7	-0.0311082	9916	0.195663	1005_rep4_dom.hs_segr.txt
1997320	1	-0.0329502	9982	0.188857	1005_rep4_dom.hs_segr.txt
1999237	1	-0.158683	9993	0.055965	1005_rep4_dom.hs_segr.txt
1985200	1	-0.00753419	9921	0.363185	1005_rep4_dom.hs_segr.txt
1914451	18	-0.00230075	9569	0.448415	1005_rep4_dom.hs_segr.txt
1959017	2	-0.0772319	9791	0.102847	1005_rep4_dom.hs_segr.txt
1995111	1	-0.0354423	9971	0.180368	1005_rep4_dom.hs_segr.txt
1992848	1	-0.0403086	9960	0.165814	1005_rep4_dom.hs_segr.txt
1998694	3	-0.0750431	9990	0.105215	1005_rep4_dom.hs_segr.txt
1992486	6	-0.14652	9958	0.0600527	1005_rep4_dom.hs_segr.txt
1996259	2	-0.0249742	9977	0.22235	1005_rep4_dom.hs_segr.txt
1998765	1	-0.0368682	9990	0.175845	1005_rep4_dom.hs_segr.txt
1955215	2	-0.025334	9772	0.220585	1005_rep4_dom.hs_segr.txt
1984256	2	-0.128434	9916	0.0673699	1005_rep4_dom.hs_segr.txt
1992204	5	-0.0528062	9956	0.137351	1005_rep4_dom.hs_segr.txt
1996693	1	-0.0420547	9979	0.161148	1005_rep4_dom.hs_segr.txt
1969229	18	-0.0257896	9842	0.21839	1005_rep4_dom.hs_segr.txt
1982661	3	-0.0256185	9908	0.219209	1005_rep4_dom.hs_segr.txt
1986088	5	-0.0163728	9926	0.274931	1005_rep4_dom.hs_segr.txt
1985645	1	-0.0624939	9923	0.121221	1005_rep4_dom.hs_segr.txt
1942346	2	-0.0128035	9708	0.304846	1005_rep4_dom.hs_segr.txt
1971147	2	-0.0145889	9851	0.28911	1005_rep4_dom.hs_segr.txt
1962909	1	-0.0156865	9810	0.280218	1005_rep4_dom.hs_segr.txt
1979515	8	-0.0410633	9893	0.163764	1005_rep4_dom.hs_segr.txt
1916370	4	-0.00936385	9579	0.340555	1005_rep4_dom.hs_segr.txt
1989771	1	-0.108487	9944	0.077829	1005_rep4_dom.hs_segr.txt
1930664	4	-0.0351192	9650	0.181425	1005_rep4_dom.hs_segr.txt
2000656	1	-0.0148739	10000	0.286747	1005_rep4_dom.hs_segr.txt
1984734	2	-0.00311012	9919	0.432711	1005_rep4_dom.hs_segr.txt
2000120	1	-0.0209053	9997	0.244467	1005_rep4_dom.hs_segr.txt
1983942	1	-0.0698809	9915	0.111258	1005_rep4_dom.hs_segr.txt
1956165	4	-0.0198373	9777	0.251021	1005_rep4_dom.hs_segr.txt
1927806	16	-0.00116039	9635	0.472581	1005_rep4_dom.hs_segr.txt
